"Family","Distribution","genus","author","year"
"Buthidae","Andhra Pradesh, Kerala, Pondicherry and Tamil Nadu.","Charmus","Hirst,"," 1915"
"Buthidae","Andhra Pradesh, Jharkhand, Karnataka, Kerala, Madhya Pradesh, Maharashtra, Pondicherry, Tamil Nadu and West Bengal.","Hottentotta","Pocock,"," 1897"
"Buthidae","Kerala, Karnataka, and Tamil Nadu.","Isometrus","Reddyanus) brachycentrus Pocock,"," 1899"
"Buthidae","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Meghalaya and Tamil Nadu.","Isometrus","Isometrus) maculatus (De Geer,"," 1778"
"Buthidae","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu and West Bengal.","Isometrus","Isometrus) thurstoni Pocock,"," 1893"
"Buthidae","Kerala, Himachal Pradesh, Odisha, Uttar Pradesh and Tamil Nadu","Lychas","Henderson,"," 1919"
"Nadu","Kerala and Tamil Nadu.","Lychas","Pocock,"," 1897"
"Nadu","Kerala, Bihar, Gujarat, Madhya Pradesh, Maharashtra, Odisha and West Bengal.","Lychas","Pocock,"," 1897"
"Nadu","Kerala, Andhra Pradesh, Madhya Pradesh, Karnataka, Maharashtra, Tamil Nadu, Bihar and Goa.","Lychas","Simon,"," 1884"
"Nadu","Kerala.","Buthoscorpio","Aswathi, Sureshan & Lourenco,"," 2015"
"Liochelidae","Kerala 12. Iomachus laeviceps (Pocock, 1890) ","Chiromachetes","Pocock,"," 1899"
"Liochelidae","Kerala and Tamil Nadu.","Iomachus","Pocock,"," 1890"
"Liochelidae","Kerala and Andaman & Nicobar Island.","Liocheles","Fabricius,"," 1775"
"Scorpionidae","","Heterometrus","Pocock,"," 1900"
"Scorpionidae","","Heterometrus","Pocock,"," 1894"
"Scorpionidae","Kerala, Karnataka and Goa.","Heterometrus","Pocock,"," 1900"
"Scorpionidae","Kerala and Maharashtra.","Heterometrus","Tikader & Bastawade,"," 1983"
"Scorpionidae","Kerala, Andhra Pradesh, Madhya Pradesh, Maharashtra, Odisha, West Bengal and Tamil Nadu.","Heterometrus","Pocock,"," 1893"
"Scorpionidae","Kerala, Karnataka, Maharashtra, Puducherry and Tamil Nadu.","Heterometrus","Thorell,"," 1876"
"Scorpionidae","Kerala, Andhra Pradesh, Chhattisgarh, Madhya Pradesh, Karnataka, Maharashtra, Odisha, Pondicherry, Uttarakhand, Uttar Pradesh, Tamil Nadu and West Bengal.","Heterometrus","Simon,"," 1872"
"Scorpionidae","Kerala and Tamil Nadu","Heterometrus","Pocock,","1900"
"Scorpionidae","Kerala.","Rugodentus","Bastawade, Sureshan & Radhakrishnan,"," 2005"
